Core.Based.Statistical.Area.CBSA.,State,Population.2010,log.pop.2010,O3.8.hr.ppm.,PM2.5.Wtd.AM._g.m3.,PM2.5.24.hr._g.m3.,SO2.1.hr.ppb.,CO.8.hr.ppm.,Pb.3.mo.microg.m3.,NO2.AM.ppb.,NO2.1.hr.ppb.,PM10.24.hr.microg.m3.,Per.capita.personal.income.Dollars.2014,Per.capita.personal.income.Dollars.2015,Per.capita.personal.income.Percent.growth,Real.per.capita.personal.income.2014.Chained.2009.dollars,Real.per.capita.personal.income.2015.Chained.2009.dollars,Real.per.capita.personal.income.Percent.growth.x,Total.Adjusted.Sales.of.Distillate.Fuel.Oil,Population.State,Total.Adjusted.Sales.of.Distillate.Fuel.Oil.per.Capita,Electricty.sale.2015,Electricty.sale.2015.per.Capita,Average.temperature,Average.annual.precipitation...rainfall,X2015.GDP,X2015.GDP.per.Capita
"Topeka, KS",Kansas,233870,5.368974516,0.063,7.1,18,NA,NA,NA,NA,NA,61,41213,42365,2.8,42425,43483,2.5,"960,794","2,906,721",0.330542216,39849,0.013709262,55.05,36.49,9806,41929.27695
"Trenton, NJ",New Jersey,366513,5.564089383,0.074,8.6,17,NA,NA,NA,NA,NA,NA,61238,63247,3.3,50467,51803,2.6,"1,247,774","8,935,421",0.13964356,75490,0.008448399,N/A,N/A,30815,84076.14464
"Tucson, AZ",Arizona,980263,5.991342611,0.069,6.4,19,1,1,NA,8,34,165,37733,38536,2.1,35658,36453,2.2,"1,028,888","6,817,565",0.150917226,77349,0.011345546,70.9,11.92,36193,36921.72407
"Tulsa, OK",Oklahoma,937478,5.971961085,0.064,9.5,23,17,2,0.01,7,36,72,58972,57727,-2.1,59593,58164,-2.4,"1,315,764","3,907,414",0.336735242,61336,0.015697338,60.7,40.91,54604,58245.6335
"Tuscaloosa, AL",Alabama,230162,5.362033623,0.061,NA,NA,NA,NA,NA,NA,NA,NA,34467,35424,2.8,35949,36873,2.6,"1,107,330","4,853,875",0.228133193,88846,0.018304138,64.95,54.91,11008,47827.18259
"Tyler, TX",Texas,209714,5.321627424,0.063,NA,NA,NA,NA,NA,2,17,NA,50325,50224,-0.2,49381,49037,-0.7,"7,315,567","27,429,639",0.266703,392337,0.014303396,65.55,46.66,10557,50339.98684
"Urban Honolulu, HI",Hawaii,953207,5.979187223,0.048,4,13,8,1,0,NA,NA,39,50203,52122,3.8,37060,38408,3.6,"205,686","1,425,157",0.144325152,9511,0.006673651,77.6,17.13,61072,64070.02886
"Utica-Rome, NY",New York,299397,5.476247444,0.071,NA,NA,3,NA,NA,NA,NA,NA,37902,39146,3.3,37432,38443,2.7,"2,621,582","19,747,183",0.132757265,148914,0.007541025,56.85,45.28,10770,35972.30433
"Valdosta, GA",Georgia,139588,5.144848085,NA,7.3,17,NA,NA,NA,NA,NA,NA,31039,32138,3.5,34689,36364,4.8,"1,744,976","10,199,398",0.171086176,135878,0.013322159,67,54.09,4850,34745.10703
"Vallejo-Fairfield, CA",California,413344,5.616311638,0.067,7.4,19,5,2,NA,7,36,23,41602,44504,7,33048,35227,6.6,"4,097,124","38,993,940",0.105070788,261170,0.006697707,60.95,24.89,19646,47529.4186
"Victoria, TX",Texas,94003,4.973141714,0.064,NA,NA,NA,NA,NA,NA,NA,NA,46957,47005,0.1,46233,45838,-0.9,"7,315,567","27,429,639",0.266703,392337,0.014303396,70.1,41.22,5218,55508.86674
"Vineland-Bridgeton, NJ",New Jersey,156898,5.195617408,0.069,7.8,18,NA,NA,NA,NA,NA,NA,34786,36253,4.2,31590,33206,5.1,"1,247,774","8,935,421",0.13964356,75490,0.008448399,55.3,45.86,5735,36552.40985
"Virginia Beach-Norfolk-Newport News, VA-NC",North Carolina,1676822,6.224486963,0.063,6.7,15,9,1,NA,7,39,24,44603,46400,4,41760,43431,4,"1,380,867","10,035,186",0.137602532,133848,0.013337869,60.6,46.55,95680,57060.32006
"Virginia Beach-Norfolk-Newport News, VA-NC",North Carolina,1676822,6.224486963,0.063,6.7,15,9,1,NA,7,39,24,44603,46400,4,41760,43431,4,"1,380,867","10,035,186",0.137602532,133848,0.013337869,60.6,46.55,95680,57060.32006
"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia,1676822,6.224486963,0.063,6.7,15,9,1,NA,7,39,24,44603,46400,4,41760,43431,4,"1,392,675","8,367,587",0.166436871,112009,0.013386057,60.6,46.55,95680,57060.32006
"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia,1676822,6.224486963,0.063,6.7,15,9,1,NA,7,39,24,44603,46400,4,41760,43431,4,"1,392,675","8,367,587",0.166436871,112009,0.013386057,60.6,46.55,95680,57060.32006
"Visalia-Porterville, CA",California,442179,5.645598113,0.092,14.7,41,NA,NA,NA,9,NA,120,35887,36551,1.9,34569,35143,1.7,"4,097,124","38,993,940",0.105070788,261170,0.006697707,63.35,10.94,15829,35797.71993
"Waco, TX",Texas,252772,5.402728965,0.06,NA,NA,4,0,NA,3,27,NA,35414,36917,4.2,35679,37013,3.7,"7,315,567","27,429,639",0.266703,392337,0.014303396,66.5,36.38,11007,43545.17114
"Walla Walla, WA",Washington,62859,4.798367468,NA,NA,NA,NA,NA,NA,NA,NA,NA,40191,42333,5.3,39823,41385,3.9,"1,086,935","7,160,290",0.151800416,90116,0.012585524,54.2,20.86,2608,41489.68326
"Warner Robins, GA",Georgia,179605,5.254318423,NA,7.9,19,NA,NA,NA,NA,NA,NA,36595,37841,3.4,37562,38798,3.3,"1,744,976","10,199,398",0.171086176,135878,0.013322159,64,48.11,6865,38222.76663
"Washington-Arlington-Alexandria, DC-VA-MD-WV",West Virginia,5636232,6.750988861,0.076,8.5,20,8,2,0.01,18,59,41,62486,64882,3.8,48268,49991,3.6,"495,967","1,841,053",0.269393114,32303,0.017545937,55.7,40.78,491042,87122.38957
"Washington-Arlington-Alexandria, DC-VA-MD-WV",West Virginia,5636232,6.750988861,0.076,8.5,20,8,2,0.01,18,59,41,62486,64882,3.8,48268,49991,3.6,"495,967","1,841,053",0.269393114,32303,0.017545937,55.7,40.78,491042,87122.38957
"Washington-Arlington-Alexandria, DC-VA-MD-WV",West Virginia,5636232,6.750988861,0.076,8.5,20,8,2,0.01,18,59,41,62486,64882,3.8,48268,49991,3.6,"495,967","1,841,053",0.269393114,32303,0.017545937,55.7,40.78,491042,87122.38957
"Washington-Arlington-Alexandria, DC-VA-MD-WV",West Virginia,5636232,6.750988861,0.076,8.5,20,8,2,0.01,18,59,41,62486,64882,3.8,48268,49991,3.6,"495,967","1,841,053",0.269393114,32303,0.017545937,55.7,40.78,491042,87122.38957
"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,5636232,6.750988861,0.076,8.5,20,8,2,0.01,18,59,41,62486,64882,3.8,48268,49991,3.6,"27,911","670,377",0.041634782,11291,0.016842762,55.7,40.78,491042,87122.38957
"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,5636232,6.750988861,0.076,8.5,20,8,2,0.01,18,59,41,62486,64882,3.8,48268,49991,3.6,"27,911","670,377",0.041634782,11291,0.016842762,55.7,40.78,491042,87122.38957
"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,5636232,6.750988861,0.076,8.5,20,8,2,0.01,18,59,41,62486,64882,3.8,48268,49991,3.6,"27,911","670,377",0.041634782,11291,0.016842762,55.7,40.78,491042,87122.38957
"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,5636232,6.750988861,0.076,8.5,20,8,2,0.01,18,59,41,62486,64882,3.8,48268,49991,3.6,"27,911","670,377",0.041634782,11291,0.016842762,55.7,40.78,491042,87122.38957
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Maryland,5636232,6.750988861,0.076,8.5,20,8,2,0.01,18,59,41,62486,64882,3.8,48268,49991,3.6,"808,485","5,994,983",0.134860266,61782,0.010305617,55.7,40.78,491042,87122.38957
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Maryland,5636232,6.750988861,0.076,8.5,20,8,2,0.01,18,59,41,62486,64882,3.8,48268,49991,3.6,"808,485","5,994,983",0.134860266,61782,0.010305617,55.7,40.78,491042,87122.38957
